Bulan-Tahun,Nilai-Ekspor,Berat-Ekspor,Nilai-Impor,Berat-Impor
2014-01-01,14472289332.0,49154384703.0,14916227693.0,11590996964
2014-02-01,14634090390.0,43416241019.0,13790661990.0,10640029636
2014-03-01,15192634701.0,49294958689.0,14523719412.0,11439923450
2014-04-01,14292472554.0,45541731344.0,16254976317.0,13005419405
2014-05-01,14823602661.0,47417633575.0,14770336777.0,12197088101
2014-06-01,15409451765.0,44989016798.0,15697742441.0,12811352690
2014-07-01,14124129298.0,43624537982.0,14081710235.0,11541376167
2014-08-01,14481642319.0,43484947226.0,14793236965.0,11676185855
2014-09-01,15275846089.0,46043270707.0,15546096309.0,13158825424
2014-10-01,15292759010.0,43705129574.0,15327994527.0,13184342220
2014-11-01,13544729209.0,46182204245.0,14041608394.0,12258277415
2014-12-01,14436339660.0,46611395610.0,14434652028.0,14230519275
2015-01-01,13244876797.53,43443195035.04,12612648838.0,11995411291
2015-02-01,12172802862.67,39768342676.62,11510111399.0,12134877571
2015-03-01,13634041965.14,48209231343.05,12608691718.0,12815242585
2015-04-01,13104596804.38,44113167148.17,12626278785.0,13205353501
2015-05-01,12754659043.69,41543644059.26,11613585485.0,11452923855
2015-06-01,13514101879.06,40886554950.92,12978091752.0,12789548820
2015-07-01,11465779764.41,40908711754.63,10081863504.0,9777959395
2015-08-01,12726037506.73,41703962147.89,12399248090.0,12392071524
2015-09-01,12588359370.7,41130727933.85,11558601330.0,12517106390
2015-10-01,12121740572.3,43492324675.64,11108916259.0,11725231343
2015-11-01,11122182554.3,41572222679.35,11519468515.0,12396999154
2015-12-01,11917112381.72,42889680221.37,12077298548.0,13890623811
2016-01-01,10581883837.98,39593480160.23,10466995371.0,11170356250
2016-02-01,11316734188.51,38699176125.86,10175631438.0,12777162927
2016-03-01,11812127477.93,43029049633.14,11301709941.0,14280888506
2016-04-01,11689745851.03,39558381868.75,10813624836.0,12028222569
2016-05-01,11517409125.88,40622406240.97,11140679613.0,13132879687
2016-06-01,13206122765.22,44766894584.67,12095220496.0,13501715838
2016-07-01,9649503975.97,39032046988.71,9017159102.0,10138881648
2016-08-01,12753921321.13,45800576791.74,12385153588.0,14001735399
2016-09-01,12579750249.95,44146271670.66,11297511237.0,12809168012
2016-10-01,12743736883.73,47378384671.57,11507180543.0,12391159183
2016-11-01,13502920382.69,46606206087.95,12669434720.0,12804703935
2016-12-01,13832355186.41,45551700747.95,12782515616.0,12988497126
2017-01-01,13397676587.81,43565989974.33,11973765825.0,11677887405
2017-02-01,12615980315.09,37467812722.18,11359410570.0,12640301805
2017-03-01,14718477686.88,47776913741.86,13283186576.0,13474016869
2017-04-01,13269689617.58,44248565280.56,11950612898.0,12432054822
2017-05-01,14333859523.55,44049700226.86,13772553263.0,14996662995
2017-06-01,11661376380.86,39899123547.3,9991567566.0,11067266662
2017-07-01,13611062499.27,45104086462.25,13889809439.0,13474009387
2017-08-01,15187990996.89,47603859326.86,13509196595.0,14290326822
2017-09-01,14580216111.8,48289451395.64,12788291967.0,13017265351
2017-10-01,15252563526.06,50820828191.65,14249179382.0,14703970178
2017-11-01,15334735600.61,47905955325.27,15113523078.0,14557794980
2017-12-01,14864547089.62,49114346862.32,15104466563.0,14417729365
2018-01-01,14576277325.78,48207188456.41,15309429258.0,13227092240
2018-02-01,14132382055.93,46035282233.81,14185493772.0,13779364997
2018-03-01,15510616703.18,52078259569.93,14463601047.0,12979524178
2018-04-01,14496238057.47,47386767306.4,16162289358.0,14804211163
2018-05-01,16198340826.26,51577563772.48,17662888974.0,16444214204
2018-06-01,12941739831.72,49522181747.15,11267885237.0,10277766719
2018-07-01,16284719992.31,54441268184.18,18297145166.0,15532866751
2018-08-01,15865124056.42,48619406722.6,16818139736.37,15554819747
2018-09-01,14956348234.23,50393032873.86,14610057878.0,12860756790
2018-10-01,15909072846.28,56706511181.5,17667618898.0,15923155505
2018-11-01,14851720862.22,51141321156.8,16901814777.0,15618755159
2018-12-01,14290093210.17,52798736010.76,15364986090.0,14716898033
2019-01-01,14028086397.26,55153741678.03,15005191440.0,13892230800
2019-02-01,12788557131.66,48714544728.77,12465073944.0,12538456210
2019-03-01,14447789013.35,57526309273.95,13746621857.0,13125266829
2019-04-01,13068068332.92,52365329749.24,15399185930.0,14143962559
2019-05-01,14751890717.71,57680016607.91,14606659275.0,14766069634
2019-06-01,11763353136.51,46497604256.66,11495388062.0,10254928550
2019-07-01,15238418109.04,56408079593.65,15518475622.0,13609908017
2019-08-01,14261962733.89,52385275556.18,14169350761.0,12679655746
2019-09-01,14080108446.19,54588169197.79,14263448876.0,13506445659
2019-10-01,14881456853.91,61412977961.99,14759081430.0,13605297569
2019-11-01,13944486956.68,56022187369.8,15340475284.0,16222862032
2019-12-01,14428818305.1,55720138557.14,14506784516.0,14283648453
2020-01-01,13636412653.62,50900144920.2,14268720284.0,12141682743
2020-02-01,14042089243.23,49671209459.93,11548100132.0,13059584031
2020-03-01,14031292077.89,54068776030.33,13352176374.0,14432183255
2020-04-01,12159824545.01,45172672643.65,12535233221.0,15051046827
2020-05-01,10452625424.79,42236217598.43,8438627383.0,10084426066
2020-06-01,12006813612.7,46387784702.64,10760317981.0,11505323617
2020-07-01,13689902558.81,46069923524.57,10464299676.0,11323464029
2020-08-01,13055281120.71,43565183268.24,10742407847.0,11839690849
2020-09-01,13956176571.88,43933093550.32,11570104770.0,12883228618
2020-10-01,14363443251.43,47117842845.64,10786016684.0,12091546513
2020-11-01,15258422043.1,53282636840.9,12664414194.0,12137149554
2020-12-01,16539555059.63,57272738271.5,14438376084.0,15330669376
2021-01-01,15300168401.83,52594533333.1,13329901020.0,13078332805
2021-02-01,15255398398.45,47636989300.89,13264974634.0,12378562385
2021-03-01,18398414762.13,50524633458.96,16787511490.0,17281282068
2021-04-01,18474131706.88,49061313898.62,16204338764.0,15359269116
2021-05-01,16908015508.43,51750618405.05,14234815276.0,14618029219
2021-06-01,18547744863.51,52712714180.45,17218457483.0,15690996581
2021-07-01,19369596670.95,55266605966.05,15263122650.0,13883775439
2021-08-01,21443151840.86,54495451463.73,16678886850.0,14120443591
2021-09-01,20618788618.1,50900622540.11,16234148586.0,14418830339
2021-10-01,22090984014.33,56525781312.65,16293616090.0,14353729490
2021-11-01,22845364125.29,50280024693.2,19328188076.0,15208908997
2021-12-01,22357720667.68,49918547181.81,21352018156.0,17367172373
2022-01-01,19173699043.36,27176531455.73,18211103488.0,12525388397
2022-02-01,20472894279.18,44630366469.31,16638511813.0,13643754535
2022-03-01,26497477726.13,61009058930.6,21962417654.0,17890856389
2022-04-01,27322284675.6,55744554534.32,19757449353.0,15311997567
2022-05-01,21509825822.05,51078811698.32,18609287096.0,13695896141
2022-06-01,26150115171.99,55379269969.52,21003853585.0,15849221401
2022-07-01,25563196494.36,58873597980.57,21345030399.0,15106273518
2022-08-01,27862094370.64,59542590396.24,22150549517.0,16324740238
2022-09-01,24777175554.39,60995692131.6,19808344348.0,15373240605
2022-10-01,24728444384.48,60949225784.49,19135352916.0,15085178245
2022-11-01,24094037088.31,57159651753.17,18962094932.0,14983782996
2022-12-01,23827858043.97,54788095309.51,19863061497.0,17445166404
2023-01-01,22323843853.75,51412618343.17,18442933629.0,15297835516
2023-02-01,21321275494.98,53154842440.69,15919168182.0,13357927312
2023-03-01,23415993725.52,63960402421.1,20588052914.0,17338475865
2023-04-01,19284075116.77,56188259181.06,15347610308.0,13898787066
